Station Code,DateTimeStamp,TSS,F_TSS,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpcnut,3/23/2003 13:57,,<-1>,4.8,<4>,,<-1>
gtmpcnut,3/23/2003 16:27,,<-1>,7.8,<4>,,<-1>
gtmfmnut,3/26/2003 8:30,29,<4>,3.4,<4>,1.1,<4>
gtmfmnut,3/26/2003 8:31,38,<4>,3.9,<4>,1.1,<4>
gtmssnut,3/26/2003 12:14,33,<4>,4.3,<4>,1,<4>
gtmssnut,3/26/2003 12:15,30,<4>,4.1,<4>,1,<4>
gtmpinut,3/26/2003 13:05,39,<4>,8.8,<4>,0.6,<4>
gtmpinut,3/26/2003 13:06,38,<4>,8.8,<4>,0.6,<4>
gtmfmnut,4/29/2003 10:16,38,<4>,4,<4>,1.1,<4>
gtmfmnut,4/29/2003 10:17,34,<4>,3,<4>,1.1,<4>
gtmssnut,4/29/2003 12:31,50,<4>,2.6,<4>,1,<4>
gtmssnut,4/29/2003 12:32,38,<4>,3.8,<4>,1,<4>
gtmpcnut,4/29/2003 13:41,,<-1>,2,<4>,,<-1>
gtmpinut,4/29/2003 14:10,21,<4>,3.4,<4>,0.7,<4>
gtmpinut,4/29/2003 14:11,42,<4>,4.2,<4>,0.7,<4>
gtmpcnut,4/29/2003 16:11,,<-1>,1.5,<4>,,<-1>
gtmpcnut,4/29/2003 16:37,38,<4>,1.6,<4>,0.6,<4>
gtmpcnut,4/29/2003 16:38,23,<4>,2.1,<4>,0.6,<4>
gtmpcnut,4/29/2003 18:41,,<-1>,2.8,<4>,,<-1>
gtmpcnut,4/29/2003 21:11,,<-1>,6.4,<4>,,<-1>
gtmpcnut,4/29/2003 23:41,,<-1>,3.2,<4>,,<-1>
gtmpcnut,4/30/2003 2:11,,<-1>,2,<4>,,<-1>
gtmpcnut,4/30/2003 4:41,,<-1>,0.9,<4>,,<-1>
gtmpcnut,4/30/2003 7:11,,<-1>,1.9,<4>,,<-1>
gtmpcnut,4/30/2003 9:41,,<-1>,3.1,<4>,,<-1>
gtmpcnut,4/30/2003 12:11,,<-1>,2.7,<4>,,<-1>
gtmpcnut,4/30/2003 14:41,,<-1>,2.8,<4>,,<-1>
gtmpcnut,5/27/2003 10:18,,<-1>,3.7,<4>,,<-1>
gtmpcnut,5/27/2003 10:25,44,<4>,1.9,<4>,1,<4>
gtmpcnut,5/27/2003 10:26,52,<4>,1.5,<4>,1,<4>
gtmfmnut,5/27/2003 11:00,28,<4>,2.4,<4>,1.5,<4>
gtmfmnut,5/27/2003 11:01,36,<4>,1.8,<4>,1.5,<4>
gtmssnut,5/27/2003 11:55,49,<4>,2.8,<4>,1.1,<4>
gtmssnut,5/27/2003 11:56,47,<4>,2.7,<4>,1.1,<4>
gtmpcnut,5/27/2003 12:48,,<-1>,2.3,<4>,,<-1>
gtmpinut,5/27/2003 13:00,49,<4>,16.1,<4>,1.2,<4>
gtmpinut,5/27/2003 13:01,47,<4>,7.4,<4>,1.2,<4>
gtmpcnut,5/27/2003 15:18,,<-1>,2.8,<4>,,<-1>
gtmpcnut,5/27/2003 17:48,,<-1>,3.1,<4>,,<-1>
gtmpcnut,5/27/2003 20:18,,<-1>,4.1,<4>,,<-1>
gtmpcnut,5/27/2003 22:48,,<-1>,2,<4>,,<-1>
gtmpcnut,5/28/2003 1:18,,<-1>,1.9,<4>,,<-1>
gtmpcnut,5/28/2003 3:48,,<-1>,1.6,<4>,,<-1>
gtmpcnut,5/28/2003 6:18,,<-1>,1.3,<4>,,<-1>
gtmpcnut,5/28/2003 8:48,,<-1>,2.2,<4>,,<-1>
gtmpcnut,5/28/2003 11:18,,<-1>,1.3,<4>,,<-1>
gtmfmnut,6/25/2003 8:45,47,<4>,6.2,<4>,1.5,<4>
gtmfmnut,6/25/2003 8:46,45,<4>,7.3,<4>,1.5,<4>
gtmssnut,6/25/2003 10:35,41,<4>,4.1,<4>,1,<4>
gtmssnut,6/25/2003 10:36,40,<4>,4.2,<4>,1,<4>
gtmpinut,6/25/2003 12:55,29,<4>,3.2,<4>,1,<4>
gtmpinut,6/25/2003 12:56,46,<4>,4.4,<4>,1,<4>
gtmpcnut,6/25/2003 14:05,,<-1>,6.1,<4>,,<-1>
gtmpcnut,6/25/2003 15:42,43,<4>,5.5,<4>,0.8,<4>
gtmpcnut,6/25/2003 15:43,38,<4>,6.6,<4>,0.8,<4>
gtmpcnut,6/25/2003 16:35,,<-1>,7.7,<4>,,<-1>
gtmpcnut,6/25/2003 19:05,,<-1>,8.4,<4>,,<-1>
gtmpcnut,6/25/2003 21:35,,<-1>,8.9,<4>,,<-1>
gtmpcnut,6/26/2003 0:05,,<-1>,4,<4>,,<-1>
gtmpcnut,6/26/2003 2:35,,<-1>,4.9,<4>,,<-1>
gtmpcnut,6/26/2003 5:05,,<-1>,4.6,<4>,,<-1>
gtmpcnut,6/26/2003 7:35,,<-1>,5.4,<4>,,<-1>
gtmpcnut,6/26/2003 10:05,,<-1>,4.8,<4>,,<-1>
gtmpcnut,6/26/2003 12:35,,<-1>,4.9,<4>,,<-1>
gtmpcnut,6/26/2003 15:05,,<-1>,4.3,<4>,,<-1>
gtmfmnut,7/29/2003 11:37,41,<4>,4.9,<4>,1,<4>
gtmfmnut,7/29/2003 11:38,47,<4>,4.2,<4>,1,<4>
gtmpinut,7/29/2003 14:56,50,<4>,8,<4>,0.6,<4>
gtmpinut,7/29/2003 14:57,53,<4>,9.7,<4>,0.6,<4>
gtmpcnut,7/29/2003 16:30,,<-1>,10.5,<4>,,<-1>
gtmpcnut,7/29/2003 17:34,20,<4>,8.5,<4>,0.4,<4>
gtmpcnut,7/29/2003 17:35,22,<4>,9.2,<4>,0.4,<4>
gtmpcnut,7/29/2003 19:00,,<-1>,8.8,<4>,,<-1>
gtmpcnut,7/29/2003 21:30,,<-1>,15.8,<4>,,<-1>
gtmpcnut,7/30/2003 0:00,,<-1>,9.3,<4>,,<-1>
gtmpcnut,7/30/2003 2:30,,<-1>,7.1,<4>,,<-1>
gtmpcnut,7/30/2003 5:00,,<-1>,4.2,<4>,,<-1>
gtmpcnut,7/30/2003 7:30,,<-1>,3.3,<4>,,<-1>
gtmpcnut,7/30/2003 10:00,,<-1>,7.1,<4>,,<-1>
gtmpcnut,7/30/2003 12:30,,<-1>,6.7,<4>,,<-1>
gtmssnut,7/30/2003 14:02,48,<4>,9.3,<4>,0.7,<4>
gtmssnut,7/30/2003 14:03,47,<4>,11.7,<4>,0.7,<4>
gtmpcnut,7/30/2003 15:00,,<-1>,5.7,<4>,,<-1>
gtmpcnut,7/30/2003 17:30,,<-1>,6,<4>,,<-1>
gtmpcnut,8/26/2003 7:51,,<-1>,8.1,<4>,,<-1>
gtmpcnut,8/26/2003 7:52,15,<4>,6.4,<4>,0.3,<4>
gtmpcnut,8/26/2003 7:51,14,<4>,7.9,<4>,0.3,<4>
gtmfmnut,8/26/2003 9:53,54,<4>,6,<4>,0.9,<4>
gtmfmnut,8/26/2003 9:54,56,<4>,5.8,<4>,0.9,<4>
gtmpcnut,8/26/2003 10:21,,<-1>,8.5,<4>,,<-1>
gtmssnut,8/26/2003 11:29,91,<4>,7.5,<4>,0.7,<4>
gtmssnut,8/26/2003 11:30,89,<4>,4.8,<4>,0.7,<4>
gtmpcnut,8/26/2003 12:51,,<-1>,7.4,<4>,,<-1>
gtmpinut,8/26/2003 13:39,49,<4>,5.4,<4>,0.6,<4>
gtmpinut,8/26/2003 13:40,55,<4>,5.7,<4>,0.6,<4>
gtmpcnut,8/26/2003 15:21,,<-1>,4.7,<4>,,<-1>
gtmpcnut,8/26/2003 17:51,,<-1>,6.3,<4>,,<-1>
gtmpcnut,8/26/2003 20:21,,<-1>,8.7,<4>,,<-1>
gtmpcnut,8/26/2003 22:51,,<-1>,5.7,<4>,,<-1>
gtmpcnut,8/27/2003 1:21,,<-1>,8,<4>,,<-1>
gtmpcnut,8/27/2003 3:51,,<-1>,6.6,<4>,,<-1>
gtmpcnut,8/27/2003 6:21,,<-1>,5.4,<4>,,<-1>
gtmpcnut,8/27/2003 8:51,,<-1>,5.7,<4>,,<-1>
gtmpcnut,9/23/2003 9:05,41,<4>,4.1,<4>,0.4,<4>
gtmpcnut,9/23/2003 9:06,32,<4>,4.2,<4>,0.4,<4>
gtmpcnut,9/23/2003 12:45,,<-1>,3.6,<4>,,<-1>
gtmpcnut,9/23/2003 15:15,,<-1>,4.2,<4>,,<-1>
gtmpcnut,9/23/2003 17:45,,<-1>,1,<4>,,<-1>
gtmpcnut,9/23/2003 20:15,,<-1>,7,<4>,,<-1>
gtmpcnut,9/23/2003 22:45,,<-1>,5.3,<4>,,<-1>
gtmpcnut,9/24/2003 1:15,,<-1>,5.3,<4>,,<-1>
gtmpcnut,9/24/2003 3:45,,<-1>,2.5,<4>,,<-1>
gtmpcnut,9/24/2003 6:15,,<-1>,3,<4>,,<-1>
gtmfmnut,9/24/2003 8:08,33,<4>,2.1,<4>,0.8,<4>
gtmfmnut,9/24/2003 8:09,31,<4>,1.7,<4>,0.8,<4>
gtmpcnut,9/24/2003 8:45,,<-1>,3.8,<4>,,<-1>
gtmssnut,9/24/2003 9:52,64,<4>,4.9,<4>,0.6,<4>
gtmssnut,9/24/2003 9:53,75,<4>,6.1,<4>,0.6,<4>
gtmpcnut,9/24/2003 11:15,,<-1>,4.3,<4>,,<-1>
gtmpinut,9/24/2003 11:40,38,<4>,3.8,<4>,0.7,<4>
gtmpinut,9/24/2003 11:41,45,<4>,3.6,<4>,0.7,<4>
gtmpcnut,9/24/2003 13:45,,<-1>,4.6,<4>,,<-1>
gtmpcnut,10/23/2003 7:57,54,<4>,5.5,<4>,0.4,<4>
gtmpcnut,10/23/2003 7:58,44,<4>,6.1,<4>,0.4,<4>
gtmpcnut,10/23/2003 8:30,,<-1>,9.7,<4>,,<-1>
gtmfmnut,10/23/2003 10:08,34,<4>,4.8,<4>,1,<4>
gtmfmnut,10/23/2003 10:09,35,<4>,2.2,<4>,1,<4>
gtmpcnut,10/23/2003 11:00,,<-1>,5.5,<4>,,<-1>
gtmssnut,10/23/2003 12:00,45,<4>,5.3,<4>,0.7,<4>
gtmssnut,10/23/2003 12:01,41,<4>,6.5,<4>,0.7,<4>
gtmpcnut,10/23/2003 13:30,,<-1>,3.9,<4>,,<-1>
gtmpinut,10/23/2003 13:39,41,<4>,5.8,<4>,0.7,<4>
gtmpinut,10/23/2003 13:40,41,<4>,5.4,<4>,0.7,<4>
gtmpcnut,10/23/2003 16:00,,<-1>,3.7,<4>,,<-1>
gtmpcnut,10/23/2003 18:30,,<-1>,3.7,<4>,,<-1>
gtmpcnut,10/23/2003 21:00,,<-1>,8.2,<4>,,<-1>
gtmpcnut,10/23/2003 23:30,,<-1>,6,<4>,,<-1>
gtmpcnut,10/24/2003 2:00,,<-1>,5.6,<4>,,<-1>
gtmpcnut,10/24/2003 4:30,,<-1>,3,<4>,,<-1>
gtmpcnut,10/24/2003 7:00,,<-1>,5.7,<4>,,<-1>
gtmpcnut,10/24/2003 9:30,,<-1>,6.2,<4>,,<-1>
gtmpcnut,11/20/2003 10:40,,<-1>,7.7,<4>,,<-1>
gtmpcnut,11/20/2003 11:55,10,<4>,6.6,<4>,0.4,<4>
gtmpcnut,11/20/2003 11:56,12,<4>,6.8,<4>,0.4,<4>
gtmpcnut,11/20/2003 13:10,,<-1>,8.8,<4>,,<-1>
gtmpcnut,11/20/2003 15:40,,<-1>,7.6,<4>,,<-1>
gtmpcnut,11/20/2003 18:10,,<-1>,6.6,<4>,,<-1>
gtmpcnut,11/20/2003 20:40,,<-1>,6.6,<4>,,<-1>
gtmpcnut,11/20/2003 23:10,,<-1>,6.4,<4>,,<-1>
gtmpcnut,11/21/2003 1:40,,<-1>,5.9,<4>,,<-1>
gtmpcnut,11/21/2003 4:10,,<-1>,6.1,<4>,,<-1>
